
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	cx q[4], q[0]
Gate(  820)	 h q[2]
Gate(  821)	 h q[9]
Gate(  822)	 t q[10]
Gate(  823)	 t q[7]
Gate(  824)	 t q[9]
Gate(  825)	cx q[7], q[10]
Gate(  826)	cx q[9], q[7]
Gate(  827)	cx q[10], q[9]
Gate(  828)	tdg q[7]
Gate(  829)	cx q[10], q[7]
Gate(  830)	tdg q[10]
Gate(  831)	tdg q[7]
Gate(  832)	 t q[9]
Gate(  833)	cx q[9], q[7]
Gate(  834)	cx q[10], q[9]
Gate(  835)	cx q[7], q[10]
Gate(  836)	 h q[9]
Gate(  837)	 h q[3]
Gate(  838)	 t q[4]
Gate(  839)	 t q[9]
Gate(  840)	 t q[3]
Gate(  841)	cx q[9], q[4]
Gate(  842)	cx q[3], q[9]
Gate(  843)	cx q[4], q[3]
Gate(  844)	tdg q[9]
Gate(  845)	cx q[4], q[9]
Gate(  846)	tdg q[4]
Gate(  847)	tdg q[9]
Gate(  848)	 t q[3]
Gate(  849)	cx q[3], q[9]
Gate(  850)	cx q[4], q[3]
Gate(  851)	cx q[9], q[4]
Gate(  852)	 h q[3]
Gate(  853)	 h q[9]
Gate(  854)	 t q[6]
Gate(  855)	 t q[5]
Gate(  856)	 t q[9]
Gate(  857)	cx q[5], q[6]
Gate(  858)	cx q[9], q[5]
Gate(  859)	cx q[6], q[9]
Gate(  860)	tdg q[5]
Gate(  861)	cx q[6], q[5]
Gate(  862)	tdg q[6]
Gate(  863)	tdg q[5]
Gate(  864)	 t q[9]
Gate(  865)	cx q[9], q[5]
Gate(  866)	cx q[6], q[9]
Gate(  867)	cx q[5], q[6]
Gate(  868)	 h q[9]
Gate(  869)	 h q[5]
Gate(  870)	 t q[7]
Gate(  871)	 t q[2]
Gate(  872)	 t q[5]
Gate(  873)	cx q[2], q[7]
Gate(  874)	cx q[5], q[2]
Gate(  875)	cx q[7], q[5]
Gate(  876)	tdg q[2]
Gate(  877)	cx q[7], q[2]
Gate(  878)	tdg q[7]
Gate(  879)	tdg q[2]
Gate(  880)	 t q[5]
Gate(  881)	cx q[5], q[2]
Gate(  882)	cx q[7], q[5]
Gate(  883)	cx q[2], q[7]
Gate(  884)	 h q[5]
Gate(  885)	 h q[2]
Gate(  886)	 t q[10]
Gate(  887)	 t q[8]
Gate(  888)	 t q[2]
Gate(  889)	cx q[8], q[10]
Gate(  890)	cx q[2], q[8]
Gate(  891)	cx q[10], q[2]
Gate(  892)	tdg q[8]
Gate(  893)	cx q[10], q[8]
Gate(  894)	tdg q[10]
Gate(  895)	tdg q[8]
Gate(  896)	 t q[2]
Gate(  897)	cx q[2], q[8]
Gate(  898)	cx q[10], q[2]
Gate(  899)	cx q[8], q[10]
Gate(  900)	 h q[2]
Gate(  901)	 h q[5]
Gate(  902)	 t q[7]
Gate(  903)	 t q[2]
Gate(  904)	 t q[5]
Gate(  905)	cx q[2], q[7]
Gate(  906)	cx q[5], q[2]
Gate(  907)	cx q[7], q[5]
Gate(  908)	tdg q[2]
Gate(  909)	cx q[7], q[2]
Gate(  910)	tdg q[7]
Gate(  911)	tdg q[2]
Gate(  912)	 t q[5]
Gate(  913)	cx q[5], q[2]
Gate(  914)	cx q[7], q[5]
Gate(  915)	cx q[2], q[7]
Gate(  916)	 h q[5]
Gate(  917)	 h q[9]
Gate(  918)	 t q[6]
Gate(  919)	 t q[5]
Gate(  920)	 t q[9]
Gate(  921)	cx q[5], q[6]
Gate(  922)	cx q[9], q[5]
Gate(  923)	cx q[6], q[9]
Gate(  924)	tdg q[5]
Gate(  925)	cx q[6], q[5]
Gate(  926)	tdg q[6]
Gate(  927)	tdg q[5]
Gate(  928)	 t q[9]
Gate(  929)	cx q[9], q[5]
Gate(  930)	cx q[6], q[9]
Gate(  931)	cx q[5], q[6]
Gate(  932)	 h q[9]
Gate(  933)	 h q[3]
Gate(  934)	 t q[4]
Gate(  935)	 t q[9]
Gate(  936)	 t q[3]
Gate(  937)	cx q[9], q[4]
Gate(  938)	cx q[3], q[9]
Gate(  939)	cx q[4], q[3]
Gate(  940)	tdg q[9]
Gate(  941)	cx q[4], q[9]
Gate(  942)	tdg q[4]
Gate(  943)	tdg q[9]
Gate(  944)	 t q[3]
Gate(  945)	cx q[3], q[9]
Gate(  946)	cx q[4], q[3]
Gate(  947)	cx q[9], q[4]
Gate(  948)	 h q[3]
Gate(  949)	 h q[9]
Gate(  950)	 t q[6]
Gate(  951)	 t q[5]
Gate(  952)	 t q[9]
Gate(  953)	cx q[5], q[6]
Gate(  954)	cx q[9], q[5]
Gate(  955)	cx q[6], q[9]
Gate(  956)	tdg q[5]
Gate(  957)	cx q[6], q[5]
Gate(  958)	tdg q[6]
Gate(  959)	tdg q[5]
Gate(  960)	 t q[9]
Gate(  961)	cx q[9], q[5]
Gate(  962)	cx q[6], q[9]
Gate(  963)	cx q[5], q[6]
Gate(  964)	 h q[9]
Gate(  965)	 h q[5]
Gate(  966)	 t q[7]
Gate(  967)	 t q[2]
Gate(  968)	 t q[5]
Gate(  969)	cx q[2], q[7]
Gate(  970)	cx q[5], q[2]
Gate(  971)	cx q[7], q[5]
Gate(  972)	tdg q[2]
Gate(  973)	cx q[7], q[2]
Gate(  974)	tdg q[7]
Gate(  975)	tdg q[2]
Gate(  976)	 t q[5]
Gate(  977)	cx q[5], q[2]
Gate(  978)	cx q[7], q[5]
Gate(  979)	cx q[2], q[7]
Gate(  980)	 h q[5]
Gate(  981)	 h q[2]
Gate(  982)	 t q[10]
Gate(  983)	 t q[8]
Gate(  984)	 t q[2]
Gate(  985)	cx q[8], q[10]
Gate(  986)	cx q[2], q[8]
Gate(  987)	cx q[10], q[2]
Gate(  988)	tdg q[8]
Gate(  989)	cx q[10], q[8]
Gate(  990)	tdg q[10]
Gate(  991)	tdg q[8]
Gate(  992)	 t q[2]
Gate(  993)	cx q[2], q[8]
Gate(  994)	cx q[10], q[2]
Gate(  995)	cx q[8], q[10]
Gate(  996)	 h q[2]
Gate(  997)	 h q[5]
Gate(  998)	 t q[7]
Gate(  999)	 t q[2]
Gate( 1000)	 t q[5]
Gate( 1001)	cx q[2], q[7]
Gate( 1002)	cx q[5], q[2]
Gate( 1003)	cx q[7], q[5]
Gate( 1004)	tdg q[2]
Gate( 1005)	cx q[7], q[2]
Gate( 1006)	tdg q[7]
Gate( 1007)	tdg q[2]
Gate( 1008)	 t q[5]
Gate( 1009)	cx q[5], q[2]
Gate( 1010)	cx q[7], q[5]
Gate( 1011)	cx q[2], q[7]
Gate( 1012)	 h q[5]
Gate( 1013)	 h q[9]
Gate( 1014)	 t q[6]
Gate( 1015)	 t q[5]
Gate( 1016)	 t q[9]
Gate( 1017)	cx q[5], q[6]
Gate( 1018)	cx q[9], q[5]
Gate( 1019)	cx q[6], q[9]
Gate( 1020)	tdg q[5]
Gate( 1021)	cx q[6], q[5]
Gate( 1022)	tdg q[6]
Gate( 1023)	tdg q[5]
Gate( 1024)	 t q[9]
Gate( 1025)	cx q[9], q[5]
Gate( 1026)	cx q[6], q[9]
Gate( 1027)	cx q[5], q[6]
Gate( 1028)	 h q[9]
Gate( 1029)	 h q[2]
Gate( 1030)	 t q[8]
Gate( 1031)	 t q[7]
Gate( 1032)	 t q[2]
Gate( 1033)	cx q[7], q[8]
Gate( 1034)	cx q[2], q[7]
Gate( 1035)	cx q[8], q[2]
Gate( 1036)	tdg q[7]
Gate( 1037)	cx q[8], q[7]
Gate( 1038)	tdg q[8]
Gate( 1039)	tdg q[7]
Gate( 1040)	 t q[2]
Gate( 1041)	cx q[2], q[7]
Gate( 1042)	cx q[8], q[2]
Gate( 1043)	cx q[7], q[8]
Gate( 1044)	 h q[2]
Gate( 1045)	 h q[3]
Gate( 1046)	 t q[5]
Gate( 1047)	 t q[10]
Gate( 1048)	 t q[3]
Gate( 1049)	cx q[10], q[5]
Gate( 1050)	cx q[3], q[10]
Gate( 1051)	cx q[5], q[3]
Gate( 1052)	tdg q[10]
Gate( 1053)	cx q[5], q[10]
Gate( 1054)	tdg q[5]
Gate( 1055)	tdg q[10]
Gate( 1056)	 t q[3]
Gate( 1057)	cx q[3], q[10]
Gate( 1058)	cx q[5], q[3]
Gate( 1059)	cx q[10], q[5]
Gate( 1060)	 h q[3]
Gate( 1061)	 h q[10]
Gate( 1062)	 t q[6]
Gate( 1063)	 t q[9]
Gate( 1064)	 t q[10]
Gate( 1065)	cx q[9], q[6]
Gate( 1066)	cx q[10], q[9]
Gate( 1067)	cx q[6], q[10]
Gate( 1068)	tdg q[9]
Gate( 1069)	cx q[6], q[9]
Gate( 1070)	tdg q[6]
Gate( 1071)	tdg q[9]
Gate( 1072)	 t q[10]
Gate( 1073)	cx q[10], q[9]
Gate( 1074)	cx q[6], q[10]
Gate( 1075)	cx q[9], q[6]
Gate( 1076)	 h q[10]
Gate( 1077)	 h q[9]
Gate( 1078)	 t q[8]
Gate( 1079)	 t q[7]
Gate( 1080)	 t q[9]
Gate( 1081)	cx q[7], q[8]
Gate( 1082)	cx q[9], q[7]
Gate( 1083)	cx q[8], q[9]
Gate( 1084)	tdg q[7]
Gate( 1085)	cx q[8], q[7]
Gate( 1086)	tdg q[8]
Gate( 1087)	tdg q[7]
Gate( 1088)	 t q[9]
Gate( 1089)	cx q[9], q[7]
Gate( 1090)	cx q[8], q[9]
Gate( 1091)	cx q[7], q[8]
Gate( 1092)	 h q[9]
Gate( 1093)	 h q[10]
Gate( 1094)	 t q[6]
Gate( 1095)	 t q[9]
Gate( 1096)	 t q[10]
Gate( 1097)	cx q[9], q[6]
Gate( 1098)	cx q[10], q[9]
Gate( 1099)	cx q[6], q[10]
Gate( 1100)	tdg q[9]
Gate( 1101)	cx q[6], q[9]
Gate( 1102)	tdg q[6]
Gate( 1103)	tdg q[9]
Gate( 1104)	 t q[10]
Gate( 1105)	cx q[10], q[9]
Gate( 1106)	cx q[6], q[10]
Gate( 1107)	cx q[9], q[6]
Gate( 1108)	 h q[10]
Gate( 1109)	 h q[3]
Gate( 1110)	 t q[5]
Gate( 1111)	 t q[10]
Gate( 1112)	 t q[3]
Gate( 1113)	cx q[10], q[5]
Gate( 1114)	cx q[3], q[10]
Gate( 1115)	cx q[5], q[3]
Gate( 1116)	tdg q[10]
Gate( 1117)	cx q[5], q[10]
Gate( 1118)	tdg q[5]
Gate( 1119)	tdg q[10]
Gate( 1120)	 t q[3]
Gate( 1121)	cx q[3], q[10]
Gate( 1122)	cx q[5], q[3]
Gate( 1123)	cx q[10], q[5]
Gate( 1124)	 h q[3]
Gate( 1125)	 h q[10]
Gate( 1126)	 t q[6]
Gate( 1127)	 t q[9]
Gate( 1128)	 t q[10]
Gate( 1129)	cx q[9], q[6]
Gate( 1130)	cx q[10], q[9]
Gate( 1131)	cx q[6], q[10]
Gate( 1132)	tdg q[9]
Gate( 1133)	cx q[6], q[9]
Gate( 1134)	tdg q[6]
Gate( 1135)	tdg q[9]
Gate( 1136)	 t q[10]
Gate( 1137)	cx q[10], q[9]
Gate( 1138)	cx q[6], q[10]
Gate( 1139)	cx q[9], q[6]
Gate( 1140)	 h q[10]
Gate( 1141)	 h q[9]
Gate( 1142)	 t q[8]
Gate( 1143)	 t q[7]
Gate( 1144)	 t q[9]
Gate( 1145)	cx q[7], q[8]
Gate( 1146)	cx q[9], q[7]
Gate( 1147)	cx q[8], q[9]
Gate( 1148)	tdg q[7]
Gate( 1149)	cx q[8], q[7]
Gate( 1150)	tdg q[8]
Gate( 1151)	tdg q[7]
Gate( 1152)	 t q[9]
Gate( 1153)	cx q[9], q[7]
Gate( 1154)	cx q[8], q[9]
Gate( 1155)	cx q[7], q[8]
Gate( 1156)	 h q[9]
Gate( 1157)	 h q[10]
Gate( 1158)	 t q[6]
Gate( 1159)	 t q[9]
Gate( 1160)	 t q[10]
Gate( 1161)	cx q[9], q[6]
Gate( 1162)	cx q[10], q[9]
Gate( 1163)	cx q[6], q[10]
Gate( 1164)	tdg q[9]
Gate( 1165)	cx q[6], q[9]
Gate( 1166)	tdg q[6]
Gate( 1167)	tdg q[9]
Gate( 1168)	 t q[10]
Gate( 1169)	cx q[10], q[9]
Gate( 1170)	cx q[6], q[10]
Gate( 1171)	cx q[9], q[6]
Gate( 1172)	 h q[10]
Gate( 1173)	 x q[6]
Gate( 1174)	 h q[3]
Gate( 1175)	 t q[9]
Gate( 1176)	 t q[6]
Gate( 1177)	 t q[3]
Gate( 1178)	cx q[6], q[9]
Gate( 1179)	cx q[3], q[6]
Gate( 1180)	cx q[9], q[3]
Gate( 1181)	tdg q[6]
Gate( 1182)	cx q[9], q[6]
Gate( 1183)	tdg q[9]
Gate( 1184)	tdg q[6]
Gate( 1185)	 t q[3]
Gate( 1186)	cx q[3], q[6]
Gate( 1187)	cx q[9], q[3]
Gate( 1188)	cx q[6], q[9]
Gate( 1189)	 h q[3]
Gate( 1190)	 h q[3]
Gate( 1191)	 t q[4]
Gate( 1192)	 t q[9]
Gate( 1193)	 t q[3]
Gate( 1194)	cx q[9], q[4]
Gate( 1195)	cx q[3], q[9]
Gate( 1196)	cx q[4], q[3]
Gate( 1197)	tdg q[9]
Gate( 1198)	cx q[4], q[9]
Gate( 1199)	tdg q[4]
Gate( 1200)	tdg q[9]
Gate( 1201)	 t q[3]
Gate( 1202)	cx q[3], q[9]
Gate( 1203)	cx q[4], q[3]
Gate( 1204)	cx q[9], q[4]
Gate( 1205)	 h q[3]
Gate( 1206)	 h q[9]
Gate( 1207)	 t q[5]
Gate( 1208)	 t q[8]
Gate( 1209)	 t q[9]
Gate( 1210)	cx q[8], q[5]
Gate( 1211)	cx q[9], q[8]
Gate( 1212)	cx q[5], q[9]
Gate( 1213)	tdg q[8]
Gate( 1214)	cx q[5], q[8]
Gate( 1215)	tdg q[5]
Gate( 1216)	tdg q[8]
Gate( 1217)	 t q[9]
Gate( 1218)	cx q[9], q[8]
Gate( 1219)	cx q[5], q[9]
Gate( 1220)	cx q[8], q[5]
Gate( 1221)	 h q[9]
Gate( 1222)	 h q[8]
Gate( 1223)	 t q[6]
Gate( 1224)	 t q[2]
Gate( 1225)	 t q[8]
Gate( 1226)	cx q[2], q[6]
Gate( 1227)	cx q[8], q[2]
Gate( 1228)	cx q[6], q[8]
Gate( 1229)	tdg q[2]
Gate( 1230)	cx q[6], q[2]
Gate( 1231)	tdg q[6]
Gate( 1232)	tdg q[2]
Gate( 1233)	 t q[8]
Gate( 1234)	cx q[8], q[2]
Gate( 1235)	cx q[6], q[8]
Gate( 1236)	cx q[2], q[6]
Gate( 1237)	 h q[8]
Gate( 1238)	 h q[2]
Gate( 1239)	 t q[10]
Gate( 1240)	 t q[7]
Gate( 1241)	 t q[2]
Gate( 1242)	cx q[7], q[10]
Gate( 1243)	cx q[2], q[7]
Gate( 1244)	cx q[10], q[2]
Gate( 1245)	tdg q[7]
Gate( 1246)	cx q[10], q[7]
Gate( 1247)	tdg q[10]
Gate( 1248)	tdg q[7]
Gate( 1249)	 t q[2]
Gate( 1250)	cx q[2], q[7]
Gate( 1251)	cx q[10], q[2]
Gate( 1252)	cx q[7], q[10]
Gate( 1253)	 h q[2]
Gate( 1254)	 h q[8]
Gate( 1255)	 t q[6]
Gate( 1256)	 t q[2]
Gate( 1257)	 t q[8]
Gate( 1258)	cx q[2], q[6]
Gate( 1259)	cx q[8], q[2]
Gate( 1260)	cx q[6], q[8]
Gate( 1261)	tdg q[2]
Gate( 1262)	cx q[6], q[2]
Gate( 1263)	tdg q[6]
Gate( 1264)	tdg q[2]
Gate( 1265)	 t q[8]
Gate( 1266)	cx q[8], q[2]
Gate( 1267)	cx q[6], q[8]
Gate( 1268)	cx q[2], q[6]
Gate( 1269)	 h q[8]
Gate( 1270)	 h q[9]
Gate( 1271)	 t q[5]
Gate( 1272)	 t q[8]
Gate( 1273)	 t q[9]
Gate( 1274)	cx q[8], q[5]
Gate( 1275)	cx q[9], q[8]
Gate( 1276)	cx q[5], q[9]
Gate( 1277)	tdg q[8]
Gate( 1278)	cx q[5], q[8]
Gate( 1279)	tdg q[5]
Gate( 1280)	tdg q[8]
Gate( 1281)	 t q[9]
Gate( 1282)	cx q[9], q[8]
Gate( 1283)	cx q[5], q[9]
Gate( 1284)	cx q[8], q[5]
Gate( 1285)	 h q[9]
Gate( 1286)	 h q[3]
Gate( 1287)	 t q[4]
Gate( 1288)	 t q[9]
Gate( 1289)	 t q[3]
Gate( 1290)	cx q[9], q[4]
Gate( 1291)	cx q[3], q[9]
Gate( 1292)	cx q[4], q[3]
Gate( 1293)	tdg q[9]
Gate( 1294)	cx q[4], q[9]
Gate( 1295)	tdg q[4]
Gate( 1296)	tdg q[9]
Gate( 1297)	 t q[3]
Gate( 1298)	cx q[3], q[9]
Gate( 1299)	cx q[4], q[3]
Gate( 1300)	cx q[9], q[4]
Gate( 1301)	 h q[3]
Gate( 1302)	 h q[9]
Gate( 1303)	 t q[5]
Gate( 1304)	 t q[8]
Gate( 1305)	 t q[9]
Gate( 1306)	cx q[8], q[5]
Gate( 1307)	cx q[9], q[8]
Gate( 1308)	cx q[5], q[9]
Gate( 1309)	tdg q[8]
Gate( 1310)	cx q[5], q[8]
Gate( 1311)	tdg q[5]
Gate( 1312)	tdg q[8]
Gate( 1313)	 t q[9]
Gate( 1314)	cx q[9], q[8]
Gate( 1315)	cx q[5], q[9]
Gate( 1316)	cx q[8], q[5]
Gate( 1317)	 h q[9]
Gate( 1318)	 h q[8]
Gate( 1319)	 t q[6]
Gate( 1320)	 t q[2]
Gate( 1321)	 t q[8]
Gate( 1322)	cx q[2], q[6]
Gate( 1323)	cx q[8], q[2]
Gate( 1324)	cx q[6], q[8]
Gate( 1325)	tdg q[2]
Gate( 1326)	cx q[6], q[2]
Gate( 1327)	tdg q[6]
Gate( 1328)	tdg q[2]
Gate( 1329)	 t q[8]
Gate( 1330)	cx q[8], q[2]
Gate( 1331)	cx q[6], q[8]
Gate( 1332)	cx q[2], q[6]
Gate( 1333)	 h q[8]
Gate( 1334)	 h q[2]
Gate( 1335)	 t q[10]
Gate( 1336)	 t q[7]
Gate( 1337)	 t q[2]
Gate( 1338)	cx q[7], q[10]
Gate( 1339)	cx q[2], q[7]
Gate( 1340)	cx q[10], q[2]
Gate( 1341)	tdg q[7]
Gate( 1342)	cx q[10], q[7]
Gate( 1343)	tdg q[10]
Gate( 1344)	tdg q[7]
Gate( 1345)	 t q[2]
Gate( 1346)	cx q[2], q[7]
Gate( 1347)	cx q[10], q[2]
Gate( 1348)	cx q[7], q[10]
Gate( 1349)	 h q[2]
Gate( 1350)	 h q[8]
Gate( 1351)	 t q[6]
Gate( 1352)	 t q[2]
Gate( 1353)	 t q[8]
Gate( 1354)	cx q[2], q[6]
Gate( 1355)	cx q[8], q[2]
Gate( 1356)	cx q[6], q[8]
Gate( 1357)	tdg q[2]
Gate( 1358)	cx q[6], q[2]
Gate( 1359)	tdg q[6]
Gate( 1360)	tdg q[2]
Gate( 1361)	 t q[8]
Gate( 1362)	cx q[8], q[2]
Gate( 1363)	cx q[6], q[8]
Gate( 1364)	cx q[2], q[6]
Gate( 1365)	 h q[8]
Gate( 1366)	 h q[9]
Gate( 1367)	 t q[5]
Gate( 1368)	 t q[8]
Gate( 1369)	 t q[9]
Gate( 1370)	cx q[8], q[5]
Gate( 1371)	cx q[9], q[8]
Gate( 1372)	cx q[5], q[9]
Gate( 1373)	tdg q[8]
Gate( 1374)	cx q[5], q[8]
Gate( 1375)	tdg q[5]
Gate( 1376)	tdg q[8]
Gate( 1377)	 t q[9]
Gate( 1378)	cx q[9], q[8]
Gate( 1379)	cx q[5], q[9]
Gate( 1380)	cx q[8], q[5]
Gate( 1381)	 h q[9]
Gate( 1382)	 x q[7]
Gate( 1383)	 h q[3]
Gate( 1384)	 t q[7]
Gate( 1385)	 t q[6]
Gate( 1386)	 t q[3]
Gate( 1387)	cx q[6], q[7]
Gate( 1388)	cx q[3], q[6]
Gate( 1389)	cx q[7], q[3]
Gate( 1390)	tdg q[6]
Gate( 1391)	cx q[7], q[6]
Gate( 1392)	tdg q[7]
Gate( 1393)	tdg q[6]
Gate( 1394)	 t q[3]
Gate( 1395)	cx q[3], q[6]
Gate( 1396)	cx q[7], q[3]
Gate( 1397)	cx q[6], q[7]
Gate( 1398)	 h q[3]
Gate( 1399)	 x q[4]
Gate( 1400)	 h q[3]
Gate( 1401)	 t q[4]
Gate( 1402)	 t q[9]
Gate( 1403)	 t q[3]
Gate( 1404)	cx q[9], q[4]
Gate( 1405)	cx q[3], q[9]
Gate( 1406)	cx q[4], q[3]
Gate( 1407)	tdg q[9]
Gate( 1408)	cx q[4], q[9]
Gate( 1409)	tdg q[4]
Gate( 1410)	tdg q[9]
Gate( 1411)	 t q[3]
Gate( 1412)	cx q[3], q[9]
Gate( 1413)	cx q[4], q[3]
Gate( 1414)	cx q[9], q[4]
Gate( 1415)	 h q[3]
Gate( 1416)	 h q[9]
Gate( 1417)	 t q[10]
Gate( 1418)	 t q[5]
Gate( 1419)	 t q[9]
Gate( 1420)	cx q[5], q[10]
Gate( 1421)	cx q[9], q[5]
Gate( 1422)	cx q[10], q[9]
Gate( 1423)	tdg q[5]
Gate( 1424)	cx q[10], q[5]
Gate( 1425)	tdg q[10]
Gate( 1426)	tdg q[5]
Gate( 1427)	 t q[9]
Gate( 1428)	cx q[9], q[5]
Gate( 1429)	cx q[10], q[9]
Gate( 1430)	cx q[5], q[10]
Gate( 1431)	 h q[9]
Gate( 1432)	 h q[3]
Gate( 1433)	 t q[4]
Gate( 1434)	 t q[9]
Gate( 1435)	 t q[3]
Gate( 1436)	cx q[9], q[4]
Gate( 1437)	cx q[3], q[9]
Gate( 1438)	cx q[4], q[3]
Gate( 1439)	tdg q[9]
Gate( 1440)	cx q[4], q[9]
Gate( 1441)	tdg q[4]
Gate( 1442)	tdg q[9]
Gate( 1443)	 t q[3]
Gate( 1444)	cx q[3], q[9]
Gate( 1445)	cx q[4], q[3]
Gate( 1446)	cx q[9], q[4]
Gate( 1447)	 h q[3]
Gate( 1448)	 h q[9]
Gate( 1449)	 t q[10]
Gate( 1450)	 t q[5]
Gate( 1451)	 t q[9]
Gate( 1452)	cx q[5], q[10]
Gate( 1453)	cx q[9], q[5]
Gate( 1454)	cx q[10], q[9]
Gate( 1455)	tdg q[5]
Gate( 1456)	cx q[10], q[5]
Gate( 1457)	tdg q[10]
Gate( 1458)	tdg q[5]
Gate( 1459)	 t q[9]
Gate( 1460)	cx q[9], q[5]
Gate( 1461)	cx q[10], q[9]
Gate( 1462)	cx q[5], q[10]
Gate( 1463)	 h q[9]
Gate( 1464)	 h q[2]
Gate( 1465)	 t q[4]
Gate( 1466)	 t q[9]
Gate( 1467)	 t q[2]
Gate( 1468)	cx q[9], q[4]
Gate( 1469)	cx q[2], q[9]
Gate( 1470)	cx q[4], q[2]
Gate( 1471)	tdg q[9]
Gate( 1472)	cx q[4], q[9]
Gate( 1473)	tdg q[4]
Gate( 1474)	tdg q[9]
Gate( 1475)	 t q[2]
Gate( 1476)	cx q[2], q[9]
Gate( 1477)	cx q[4], q[2]
Gate( 1478)	cx q[9], q[4]
Gate( 1479)	 h q[2]
Gate( 1480)	 h q[9]
Gate( 1481)	 t q[10]
Gate( 1482)	 t q[5]
Gate( 1483)	 t q[9]
Gate( 1484)	cx q[5], q[10]
Gate( 1485)	cx q[9], q[5]
Gate( 1486)	cx q[10], q[9]
Gate( 1487)	tdg q[5]
Gate( 1488)	cx q[10], q[5]
Gate( 1489)	tdg q[10]
Gate( 1490)	tdg q[5]
Gate( 1491)	 t q[9]
Gate( 1492)	cx q[9], q[5]
Gate( 1493)	cx q[10], q[9]
Gate( 1494)	cx q[5], q[10]
Gate( 1495)	 h q[9]
Gate( 1496)	 h q[2]
Gate( 1497)	 t q[4]
Gate( 1498)	 t q[9]
Gate( 1499)	 t q[2]
Gate( 1500)	cx q[9], q[4]
Gate( 1501)	cx q[2], q[9]
Gate( 1502)	cx q[4], q[2]
Gate( 1503)	tdg q[9]
Gate( 1504)	cx q[4], q[9]
Gate( 1505)	tdg q[4]
Gate( 1506)	tdg q[9]
Gate( 1507)	 t q[2]
Gate( 1508)	cx q[2], q[9]
Gate( 1509)	cx q[4], q[2]
Gate( 1510)	cx q[9], q[4]
Gate( 1511)	 h q[2]
Gate( 1512)	 h q[9]
Gate( 1513)	 t q[10]
Gate( 1514)	 t q[5]
Gate( 1515)	 t q[9]
Gate( 1516)	cx q[5], q[10]
Gate( 1517)	cx q[9], q[5]
Gate( 1518)	cx q[10], q[9]
Gate( 1519)	tdg q[5]
Gate( 1520)	cx q[10], q[5]
Gate( 1521)	tdg q[10]
Gate( 1522)	tdg q[5]
Gate( 1523)	 t q[9]
Gate( 1524)	cx q[9], q[5]
Gate( 1525)	cx q[10], q[9]
Gate( 1526)	cx q[5], q[10]
Gate( 1527)	 h q[9]
Gate( 1528)	 x q[10]
Gate( 1529)	 h q[3]
Gate( 1530)	 t q[4]
Gate( 1531)	 t q[8]
Gate( 1532)	 t q[3]
Gate( 1533)	cx q[8], q[4]
Gate( 1534)	cx q[3], q[8]
Gate( 1535)	cx q[4], q[3]
Gate( 1536)	tdg q[8]
Gate( 1537)	cx q[4], q[8]
Gate( 1538)	tdg q[4]
Gate( 1539)	tdg q[8]
Gate( 1540)	 t q[3]
Gate( 1541)	cx q[3], q[8]
Gate( 1542)	cx q[4], q[3]
Gate( 1543)	cx q[8], q[4]
Gate( 1544)	 h q[3]
Gate( 1545)	 h q[8]
Gate( 1546)	 t q[5]
Gate( 1547)	 t q[6]
Gate( 1548)	 t q[8]
Gate( 1549)	cx q[6], q[5]
Gate( 1550)	cx q[8], q[6]
Gate( 1551)	cx q[5], q[8]
Gate( 1552)	tdg q[6]
Gate( 1553)	cx q[5], q[6]
Gate( 1554)	tdg q[5]
Gate( 1555)	tdg q[6]
Gate( 1556)	 t q[8]
Gate( 1557)	cx q[8], q[6]
Gate( 1558)	cx q[5], q[8]
Gate( 1559)	cx q[6], q[5]
Gate( 1560)	 h q[8]
Gate( 1561)	 h q[6]
Gate( 1562)	 t q[7]
Gate( 1563)	 t q[2]
Gate( 1564)	 t q[6]
Gate( 1565)	cx q[2], q[7]
Gate( 1566)	cx q[6], q[2]
Gate( 1567)	cx q[7], q[6]
Gate( 1568)	tdg q[2]
Gate( 1569)	cx q[7], q[2]
Gate( 1570)	tdg q[7]
Gate( 1571)	tdg q[2]
Gate( 1572)	 t q[6]
Gate( 1573)	cx q[6], q[2]
Gate( 1574)	cx q[7], q[6]
Gate( 1575)	cx q[2], q[7]
Gate( 1576)	 h q[6]
Gate( 1577)	 h q[2]
Gate( 1578)	 t q[10]
Gate( 1579)	 t q[9]
Gate( 1580)	 t q[2]
Gate( 1581)	cx q[9], q[10]
Gate( 1582)	cx q[2], q[9]
Gate( 1583)	cx q[10], q[2]
Gate( 1584)	tdg q[9]
Gate( 1585)	cx q[10], q[9]
Gate( 1586)	tdg q[10]
Gate( 1587)	tdg q[9]
Gate( 1588)	 t q[2]
Gate( 1589)	cx q[2], q[9]
Gate( 1590)	cx q[10], q[2]
Gate( 1591)	cx q[9], q[10]
Gate( 1592)	 h q[2]
Gate( 1593)	 h q[6]
Gate( 1594)	 t q[7]
Gate( 1595)	 t q[2]
Gate( 1596)	 t q[6]
Gate( 1597)	cx q[2], q[7]
Gate( 1598)	cx q[6], q[2]
Gate( 1599)	cx q[7], q[6]
Gate( 1600)	tdg q[2]
Gate( 1601)	cx q[7], q[2]
Gate( 1602)	tdg q[7]
Gate( 1603)	tdg q[2]
Gate( 1604)	 t q[6]
Gate( 1605)	cx q[6], q[2]
Gate( 1606)	cx q[7], q[6]
