
================================================================
         Multi-QPU Mapping by Ajou University QCSS Lab          
================================================================
Gate(    0)	cx q[10], q[2]
Gate( 3767)	cx q[5], q[10]
Gate( 3768)	cx q[9], q[5]
Gate( 3769)	 h q[10]
Gate( 3770)	 h q[9]
Gate( 3771)	 t q[7]
Gate( 3772)	 t q[6]
Gate( 3773)	 t q[9]
Gate( 3774)	cx q[6], q[7]
Gate( 3775)	cx q[9], q[6]
Gate( 3776)	cx q[7], q[9]
Gate( 3777)	tdg q[6]
Gate( 3778)	cx q[7], q[6]
Gate( 3779)	tdg q[7]
Gate( 3780)	tdg q[6]
Gate( 3781)	 t q[9]
Gate( 3782)	cx q[9], q[6]
Gate( 3783)	cx q[7], q[9]
Gate( 3784)	cx q[6], q[7]
Gate( 3785)	 h q[9]
Gate( 3786)	 h q[10]
Gate( 3787)	 t q[5]
Gate( 3788)	 t q[9]
Gate( 3789)	 t q[10]
Gate( 3790)	cx q[9], q[5]
Gate( 3791)	cx q[10], q[9]
Gate( 3792)	cx q[5], q[10]
Gate( 3793)	tdg q[9]
Gate( 3794)	cx q[5], q[9]
Gate( 3795)	tdg q[5]
Gate( 3796)	tdg q[9]
Gate( 3797)	 t q[10]
Gate( 3798)	cx q[10], q[9]
Gate( 3799)	cx q[5], q[10]
Gate( 3800)	cx q[9], q[5]
Gate( 3801)	 h q[10]
Gate( 3802)	 h q[11]
Gate( 3803)	 t q[4]
Gate( 3804)	 t q[10]
Gate( 3805)	 t q[11]
Gate( 3806)	cx q[10], q[4]
Gate( 3807)	cx q[11], q[10]
Gate( 3808)	cx q[4], q[11]
Gate( 3809)	tdg q[10]
Gate( 3810)	cx q[4], q[10]
Gate( 3811)	tdg q[4]
Gate( 3812)	tdg q[10]
Gate( 3813)	 t q[11]
Gate( 3814)	cx q[11], q[10]
Gate( 3815)	cx q[4], q[11]
Gate( 3816)	cx q[10], q[4]
Gate( 3817)	 h q[11]
Gate( 3818)	 h q[0]
Gate( 3819)	 t q[1]
Gate( 3820)	 t q[11]
Gate( 3821)	 t q[0]
Gate( 3822)	cx q[11], q[1]
Gate( 3823)	cx q[0], q[11]
Gate( 3824)	cx q[1], q[0]
Gate( 3825)	tdg q[11]
Gate( 3826)	cx q[1], q[11]
Gate( 3827)	tdg q[1]
Gate( 3828)	tdg q[11]
Gate( 3829)	 t q[0]
Gate( 3830)	cx q[0], q[11]
Gate( 3831)	cx q[1], q[0]
Gate( 3832)	cx q[11], q[1]
Gate( 3833)	 h q[0]
Gate( 3834)	 h q[11]
Gate( 3835)	 t q[4]
Gate( 3836)	 t q[10]
Gate( 3837)	 t q[11]
Gate( 3838)	cx q[10], q[4]
Gate( 3839)	cx q[11], q[10]
Gate( 3840)	cx q[4], q[11]
Gate( 3841)	tdg q[10]
Gate( 3842)	cx q[4], q[10]
Gate( 3843)	tdg q[4]
Gate( 3844)	tdg q[10]
Gate( 3845)	 t q[11]
Gate( 3846)	cx q[11], q[10]
Gate( 3847)	cx q[4], q[11]
Gate( 3848)	cx q[10], q[4]
Gate( 3849)	 h q[11]
Gate( 3850)	 h q[10]
Gate( 3851)	 t q[5]
Gate( 3852)	 t q[9]
Gate( 3853)	 t q[10]
Gate( 3854)	cx q[9], q[5]
Gate( 3855)	cx q[10], q[9]
Gate( 3856)	cx q[5], q[10]
Gate( 3857)	tdg q[9]
Gate( 3858)	cx q[5], q[9]
Gate( 3859)	tdg q[5]
Gate( 3860)	tdg q[9]
Gate( 3861)	 t q[10]
Gate( 3862)	cx q[10], q[9]
Gate( 3863)	cx q[5], q[10]
Gate( 3864)	cx q[9], q[5]
Gate( 3865)	 h q[10]
Gate( 3866)	 h q[9]
Gate( 3867)	 t q[7]
Gate( 3868)	 t q[6]
Gate( 3869)	 t q[9]
Gate( 3870)	cx q[6], q[7]
Gate( 3871)	cx q[9], q[6]
Gate( 3872)	cx q[7], q[9]
Gate( 3873)	tdg q[6]
Gate( 3874)	cx q[7], q[6]
Gate( 3875)	tdg q[7]
Gate( 3876)	tdg q[6]
Gate( 3877)	 t q[9]
Gate( 3878)	cx q[9], q[6]
Gate( 3879)	cx q[7], q[9]
Gate( 3880)	cx q[6], q[7]
Gate( 3881)	 h q[9]
Gate( 3882)	 h q[10]
Gate( 3883)	 t q[5]
Gate( 3884)	 t q[9]
Gate( 3885)	 t q[10]
Gate( 3886)	cx q[9], q[5]
Gate( 3887)	cx q[10], q[9]
Gate( 3888)	cx q[5], q[10]
Gate( 3889)	tdg q[9]
Gate( 3890)	cx q[5], q[9]
Gate( 3891)	tdg q[5]
Gate( 3892)	tdg q[9]
Gate( 3893)	 t q[10]
Gate( 3894)	cx q[10], q[9]
Gate( 3895)	cx q[5], q[10]
Gate( 3896)	cx q[9], q[5]
Gate( 3897)	 h q[10]
Gate( 3898)	 h q[11]
Gate( 3899)	 t q[4]
Gate( 3900)	 t q[10]
Gate( 3901)	 t q[11]
Gate( 3902)	cx q[10], q[4]
Gate( 3903)	cx q[11], q[10]
Gate( 3904)	cx q[4], q[11]
Gate( 3905)	tdg q[10]
Gate( 3906)	cx q[4], q[10]
Gate( 3907)	tdg q[4]
Gate( 3908)	tdg q[10]
Gate( 3909)	 t q[11]
Gate( 3910)	cx q[11], q[10]
Gate( 3911)	cx q[4], q[11]
Gate( 3912)	cx q[10], q[4]
Gate( 3913)	 h q[11]
Gate( 3914)	 h q[0]
Gate( 3915)	 t q[4]
Gate( 3916)	 t q[11]
Gate( 3917)	 t q[0]
Gate( 3918)	cx q[11], q[4]
Gate( 3919)	cx q[0], q[11]
Gate( 3920)	cx q[4], q[0]
Gate( 3921)	tdg q[11]
Gate( 3922)	cx q[4], q[11]
Gate( 3923)	tdg q[4]
Gate( 3924)	tdg q[11]
Gate( 3925)	 t q[0]
Gate( 3926)	cx q[0], q[11]
Gate( 3927)	cx q[4], q[0]
Gate( 3928)	cx q[11], q[4]
Gate( 3929)	 h q[0]
Gate( 3930)	 h q[11]
Gate( 3931)	 t q[5]
Gate( 3932)	 t q[10]
Gate( 3933)	 t q[11]
Gate( 3934)	cx q[10], q[5]
Gate( 3935)	cx q[11], q[10]
Gate( 3936)	cx q[5], q[11]
Gate( 3937)	tdg q[10]
Gate( 3938)	cx q[5], q[10]
Gate( 3939)	tdg q[5]
Gate( 3940)	tdg q[10]
Gate( 3941)	 t q[11]
Gate( 3942)	cx q[11], q[10]
Gate( 3943)	cx q[5], q[11]
Gate( 3944)	cx q[10], q[5]
Gate( 3945)	 h q[11]
Gate( 3946)	 h q[10]
Gate( 3947)	 t q[6]
Gate( 3948)	 t q[9]
Gate( 3949)	 t q[10]
Gate( 3950)	cx q[9], q[6]
Gate( 3951)	cx q[10], q[9]
Gate( 3952)	cx q[6], q[10]
Gate( 3953)	tdg q[9]
Gate( 3954)	cx q[6], q[9]
Gate( 3955)	tdg q[6]
Gate( 3956)	tdg q[9]
Gate( 3957)	 t q[10]
Gate( 3958)	cx q[10], q[9]
Gate( 3959)	cx q[6], q[10]
Gate( 3960)	cx q[9], q[6]
Gate( 3961)	 h q[10]
Gate( 3962)	 h q[9]
Gate( 3963)	 t q[8]
Gate( 3964)	 t q[7]
Gate( 3965)	 t q[9]
Gate( 3966)	cx q[7], q[8]
Gate( 3967)	cx q[9], q[7]
Gate( 3968)	cx q[8], q[9]
Gate( 3969)	tdg q[7]
Gate( 3970)	cx q[8], q[7]
Gate( 3971)	tdg q[8]
Gate( 3972)	tdg q[7]
Gate( 3973)	 t q[9]
Gate( 3974)	cx q[9], q[7]
Gate( 3975)	cx q[8], q[9]
Gate( 3976)	cx q[7], q[8]
Gate( 3977)	 h q[9]
Gate( 3978)	 h q[10]
Gate( 3979)	 t q[6]
Gate( 3980)	 t q[9]
Gate( 3981)	 t q[10]
Gate( 3982)	cx q[9], q[6]
Gate( 3983)	cx q[10], q[9]
Gate( 3984)	cx q[6], q[10]
Gate( 3985)	tdg q[9]
Gate( 3986)	cx q[6], q[9]
Gate( 3987)	tdg q[6]
Gate( 3988)	tdg q[9]
Gate( 3989)	 t q[10]
Gate( 3990)	cx q[10], q[9]
Gate( 3991)	cx q[6], q[10]
Gate( 3992)	cx q[9], q[6]
Gate( 3993)	 h q[10]
Gate( 3994)	 h q[11]
Gate( 3995)	 t q[5]
Gate( 3996)	 t q[10]
Gate( 3997)	 t q[11]
Gate( 3998)	cx q[10], q[5]
Gate( 3999)	cx q[11], q[10]
Gate( 4000)	cx q[5], q[11]
Gate( 4001)	tdg q[10]
Gate( 4002)	cx q[5], q[10]
Gate( 4003)	tdg q[5]
Gate( 4004)	tdg q[10]
Gate( 4005)	 t q[11]
Gate( 4006)	cx q[11], q[10]
Gate( 4007)	cx q[5], q[11]
Gate( 4008)	cx q[10], q[5]
Gate( 4009)	 h q[11]
Gate( 4010)	 h q[0]
Gate( 4011)	 t q[4]
Gate( 4012)	 t q[11]
Gate( 4013)	 t q[0]
Gate( 4014)	cx q[11], q[4]
Gate( 4015)	cx q[0], q[11]
Gate( 4016)	cx q[4], q[0]
Gate( 4017)	tdg q[11]
Gate( 4018)	cx q[4], q[11]
Gate( 4019)	tdg q[4]
Gate( 4020)	tdg q[11]
Gate( 4021)	 t q[0]
Gate( 4022)	cx q[0], q[11]
Gate( 4023)	cx q[4], q[0]
Gate( 4024)	cx q[11], q[4]
Gate( 4025)	 h q[0]
Gate( 4026)	 h q[11]
Gate( 4027)	 t q[5]
Gate( 4028)	 t q[10]
Gate( 4029)	 t q[11]
Gate( 4030)	cx q[10], q[5]
Gate( 4031)	cx q[11], q[10]
Gate( 4032)	cx q[5], q[11]
Gate( 4033)	tdg q[10]
Gate( 4034)	cx q[5], q[10]
Gate( 4035)	tdg q[5]
Gate( 4036)	tdg q[10]
Gate( 4037)	 t q[11]
Gate( 4038)	cx q[11], q[10]
Gate( 4039)	cx q[5], q[11]
Gate( 4040)	cx q[10], q[5]
Gate( 4041)	 h q[11]
Gate( 4042)	 h q[10]
Gate( 4043)	 t q[6]
Gate( 4044)	 t q[9]
Gate( 4045)	 t q[10]
Gate( 4046)	cx q[9], q[6]
Gate( 4047)	cx q[10], q[9]
Gate( 4048)	cx q[6], q[10]
Gate( 4049)	tdg q[9]
Gate( 4050)	cx q[6], q[9]
Gate( 4051)	tdg q[6]
Gate( 4052)	tdg q[9]
Gate( 4053)	 t q[10]
Gate( 4054)	cx q[10], q[9]
Gate( 4055)	cx q[6], q[10]
Gate( 4056)	cx q[9], q[6]
Gate( 4057)	 h q[10]
Gate( 4058)	 h q[9]
Gate( 4059)	 t q[8]
Gate( 4060)	 t q[7]
Gate( 4061)	 t q[9]
Gate( 4062)	cx q[7], q[8]
Gate( 4063)	cx q[9], q[7]
Gate( 4064)	cx q[8], q[9]
Gate( 4065)	tdg q[7]
Gate( 4066)	cx q[8], q[7]
Gate( 4067)	tdg q[8]
Gate( 4068)	tdg q[7]
Gate( 4069)	 t q[9]
Gate( 4070)	cx q[9], q[7]
Gate( 4071)	cx q[8], q[9]
Gate( 4072)	cx q[7], q[8]
Gate( 4073)	 h q[9]
Gate( 4074)	 h q[10]
Gate( 4075)	 t q[6]
Gate( 4076)	 t q[9]
Gate( 4077)	 t q[10]
Gate( 4078)	cx q[9], q[6]
Gate( 4079)	cx q[10], q[9]
Gate( 4080)	cx q[6], q[10]
Gate( 4081)	tdg q[9]
Gate( 4082)	cx q[6], q[9]
Gate( 4083)	tdg q[6]
Gate( 4084)	tdg q[9]
Gate( 4085)	 t q[10]
Gate( 4086)	cx q[10], q[9]
Gate( 4087)	cx q[6], q[10]
Gate( 4088)	cx q[9], q[6]
Gate( 4089)	 h q[10]
Gate( 4090)	 h q[11]
Gate( 4091)	 t q[5]
Gate( 4092)	 t q[10]
Gate( 4093)	 t q[11]
Gate( 4094)	cx q[10], q[5]
Gate( 4095)	cx q[11], q[10]
Gate( 4096)	cx q[5], q[11]
Gate( 4097)	tdg q[10]
Gate( 4098)	cx q[5], q[10]
Gate( 4099)	tdg q[5]
Gate( 4100)	tdg q[10]
Gate( 4101)	 t q[11]
Gate( 4102)	cx q[11], q[10]
Gate( 4103)	cx q[5], q[11]
Gate( 4104)	cx q[10], q[5]
Gate( 4105)	 h q[11]
Gate( 4106)	 h q[0]
Gate( 4107)	 t q[4]
Gate( 4108)	 t q[9]
Gate( 4109)	 t q[0]
Gate( 4110)	cx q[9], q[4]
Gate( 4111)	cx q[0], q[9]
Gate( 4112)	cx q[4], q[0]
Gate( 4113)	tdg q[9]
Gate( 4114)	cx q[4], q[9]
Gate( 4115)	tdg q[4]
Gate( 4116)	tdg q[9]
Gate( 4117)	 t q[0]
Gate( 4118)	cx q[0], q[9]
Gate( 4119)	cx q[4], q[0]
Gate( 4120)	cx q[9], q[4]
Gate( 4121)	 h q[0]
Gate( 4122)	 h q[9]
Gate( 4123)	 t q[5]
Gate( 4124)	 t q[6]
Gate( 4125)	 t q[9]
Gate( 4126)	cx q[6], q[5]
Gate( 4127)	cx q[9], q[6]
Gate( 4128)	cx q[5], q[9]
Gate( 4129)	tdg q[6]
Gate( 4130)	cx q[5], q[6]
Gate( 4131)	tdg q[5]
Gate( 4132)	tdg q[6]
Gate( 4133)	 t q[9]
Gate( 4134)	cx q[9], q[6]
Gate( 4135)	cx q[5], q[9]
Gate( 4136)	cx q[6], q[5]
Gate( 4137)	 h q[9]
Gate( 4138)	 h q[6]
Gate( 4139)	 t q[7]
Gate( 4140)	 t q[3]
Gate( 4141)	 t q[6]
Gate( 4142)	cx q[3], q[7]
Gate( 4143)	cx q[6], q[3]
Gate( 4144)	cx q[7], q[6]
Gate( 4145)	tdg q[3]
Gate( 4146)	cx q[7], q[3]
Gate( 4147)	tdg q[7]
Gate( 4148)	tdg q[3]
Gate( 4149)	 t q[6]
Gate( 4150)	cx q[6], q[3]
Gate( 4151)	cx q[7], q[6]
Gate( 4152)	cx q[3], q[7]
Gate( 4153)	 h q[6]
Gate( 4154)	 h q[3]
Gate( 4155)	 t q[8]
Gate( 4156)	 t q[2]
Gate( 4157)	 t q[3]
Gate( 4158)	cx q[2], q[8]
Gate( 4159)	cx q[3], q[2]
Gate( 4160)	cx q[8], q[3]
Gate( 4161)	tdg q[2]
Gate( 4162)	cx q[8], q[2]
Gate( 4163)	tdg q[8]
Gate( 4164)	tdg q[2]
Gate( 4165)	 t q[3]
Gate( 4166)	cx q[3], q[2]
Gate( 4167)	cx q[8], q[3]
Gate( 4168)	cx q[2], q[8]
Gate( 4169)	 h q[3]
Gate( 4170)	 h q[2]
Gate( 4171)	 t q[11]
Gate( 4172)	 t q[10]
Gate( 4173)	 t q[2]
Gate( 4174)	cx q[10], q[11]
Gate( 4175)	cx q[2], q[10]
Gate( 4176)	cx q[11], q[2]
Gate( 4177)	tdg q[10]
Gate( 4178)	cx q[11], q[10]
Gate( 4179)	tdg q[11]
Gate( 4180)	tdg q[10]
Gate( 4181)	 t q[2]
Gate( 4182)	cx q[2], q[10]
Gate( 4183)	cx q[11], q[2]
Gate( 4184)	cx q[10], q[11]
Gate( 4185)	 h q[2]
Gate( 4186)	 h q[3]
Gate( 4187)	 t q[8]
Gate( 4188)	 t q[2]
Gate( 4189)	 t q[3]
Gate( 4190)	cx q[2], q[8]
Gate( 4191)	cx q[3], q[2]
Gate( 4192)	cx q[8], q[3]
Gate( 4193)	tdg q[2]
Gate( 4194)	cx q[8], q[2]
Gate( 4195)	tdg q[8]
Gate( 4196)	tdg q[2]
Gate( 4197)	 t q[3]
Gate( 4198)	cx q[3], q[2]
Gate( 4199)	cx q[8], q[3]
Gate( 4200)	cx q[2], q[8]
Gate( 4201)	 h q[3]
Gate( 4202)	 h q[6]
Gate( 4203)	 t q[7]
Gate( 4204)	 t q[3]
Gate( 4205)	 t q[6]
Gate( 4206)	cx q[3], q[7]
Gate( 4207)	cx q[6], q[3]
Gate( 4208)	cx q[7], q[6]
Gate( 4209)	tdg q[3]
Gate( 4210)	cx q[7], q[3]
Gate( 4211)	tdg q[7]
Gate( 4212)	tdg q[3]
Gate( 4213)	 t q[6]
Gate( 4214)	cx q[6], q[3]
Gate( 4215)	cx q[7], q[6]
Gate( 4216)	cx q[3], q[7]
Gate( 4217)	 h q[6]
Gate( 4218)	 h q[9]
Gate( 4219)	 t q[5]
Gate( 4220)	 t q[6]
Gate( 4221)	 t q[9]
Gate( 4222)	cx q[6], q[5]
Gate( 4223)	cx q[9], q[6]
Gate( 4224)	cx q[5], q[9]
Gate( 4225)	tdg q[6]
Gate( 4226)	cx q[5], q[6]
Gate( 4227)	tdg q[5]
Gate( 4228)	tdg q[6]
Gate( 4229)	 t q[9]
Gate( 4230)	cx q[9], q[6]
Gate( 4231)	cx q[5], q[9]
Gate( 4232)	cx q[6], q[5]
Gate( 4233)	 h q[9]
Gate( 4234)	 h q[0]
Gate( 4235)	 t q[4]
Gate( 4236)	 t q[9]
Gate( 4237)	 t q[0]
Gate( 4238)	cx q[9], q[4]
Gate( 4239)	cx q[0], q[9]
Gate( 4240)	cx q[4], q[0]
Gate( 4241)	tdg q[9]
Gate( 4242)	cx q[4], q[9]
Gate( 4243)	tdg q[4]
Gate( 4244)	tdg q[9]
Gate( 4245)	 t q[0]
Gate( 4246)	cx q[0], q[9]
Gate( 4247)	cx q[4], q[0]
Gate( 4248)	cx q[9], q[4]
Gate( 4249)	 h q[0]
Gate( 4250)	 h q[9]
Gate( 4251)	 t q[5]
Gate( 4252)	 t q[6]
Gate( 4253)	 t q[9]
Gate( 4254)	cx q[6], q[5]
Gate( 4255)	cx q[9], q[6]
Gate( 4256)	cx q[5], q[9]
Gate( 4257)	tdg q[6]
Gate( 4258)	cx q[5], q[6]
Gate( 4259)	tdg q[5]
Gate( 4260)	tdg q[6]
Gate( 4261)	 t q[9]
Gate( 4262)	cx q[9], q[6]
Gate( 4263)	cx q[5], q[9]
Gate( 4264)	cx q[6], q[5]
Gate( 4265)	 h q[9]
Gate( 4266)	 h q[6]
Gate( 4267)	 t q[7]
Gate( 4268)	 t q[3]
Gate( 4269)	 t q[6]
Gate( 4270)	cx q[3], q[7]
Gate( 4271)	cx q[6], q[3]
Gate( 4272)	cx q[7], q[6]
Gate( 4273)	tdg q[3]
Gate( 4274)	cx q[7], q[3]
Gate( 4275)	tdg q[7]
Gate( 4276)	tdg q[3]
Gate( 4277)	 t q[6]
Gate( 4278)	cx q[6], q[3]
Gate( 4279)	cx q[7], q[6]
Gate( 4280)	cx q[3], q[7]
Gate( 4281)	 h q[6]
Gate( 4282)	 h q[3]
Gate( 4283)	 t q[8]
Gate( 4284)	 t q[2]
Gate( 4285)	 t q[3]
Gate( 4286)	cx q[2], q[8]
Gate( 4287)	cx q[3], q[2]
Gate( 4288)	cx q[8], q[3]
Gate( 4289)	tdg q[2]
Gate( 4290)	cx q[8], q[2]
Gate( 4291)	tdg q[8]
Gate( 4292)	tdg q[2]
Gate( 4293)	 t q[3]
Gate( 4294)	cx q[3], q[2]
Gate( 4295)	cx q[8], q[3]
Gate( 4296)	cx q[2], q[8]
Gate( 4297)	 h q[3]
Gate( 4298)	 h q[2]
Gate( 4299)	 t q[11]
Gate( 4300)	 t q[10]
Gate( 4301)	 t q[2]
Gate( 4302)	cx q[10], q[11]
Gate( 4303)	cx q[2], q[10]
Gate( 4304)	cx q[11], q[2]
Gate( 4305)	tdg q[10]
Gate( 4306)	cx q[11], q[10]
Gate( 4307)	tdg q[11]
Gate( 4308)	tdg q[10]
Gate( 4309)	 t q[2]
Gate( 4310)	cx q[2], q[10]
Gate( 4311)	cx q[11], q[2]
Gate( 4312)	cx q[10], q[11]
Gate( 4313)	 h q[2]
Gate( 4314)	 h q[3]
Gate( 4315)	 t q[8]
Gate( 4316)	 t q[2]
Gate( 4317)	 t q[3]
Gate( 4318)	cx q[2], q[8]
Gate( 4319)	cx q[3], q[2]
Gate( 4320)	cx q[8], q[3]
Gate( 4321)	tdg q[2]
Gate( 4322)	cx q[8], q[2]
Gate( 4323)	tdg q[8]
Gate( 4324)	tdg q[2]
Gate( 4325)	 t q[3]
Gate( 4326)	cx q[3], q[2]
Gate( 4327)	cx q[8], q[3]
Gate( 4328)	cx q[2], q[8]
Gate( 4329)	 h q[3]
Gate( 4330)	 h q[6]
Gate( 4331)	 t q[7]
Gate( 4332)	 t q[3]
Gate( 4333)	 t q[6]
Gate( 4334)	cx q[3], q[7]
Gate( 4335)	cx q[6], q[3]
Gate( 4336)	cx q[7], q[6]
Gate( 4337)	tdg q[3]
Gate( 4338)	cx q[7], q[3]
Gate( 4339)	tdg q[7]
Gate( 4340)	tdg q[3]
Gate( 4341)	 t q[6]
Gate( 4342)	cx q[6], q[3]
Gate( 4343)	cx q[7], q[6]
Gate( 4344)	cx q[3], q[7]
Gate( 4345)	 h q[6]
Gate( 4346)	 h q[9]
Gate( 4347)	 t q[5]
Gate( 4348)	 t q[6]
Gate( 4349)	 t q[9]
Gate( 4350)	cx q[6], q[5]
Gate( 4351)	cx q[9], q[6]
Gate( 4352)	cx q[5], q[9]
Gate( 4353)	tdg q[6]
Gate( 4354)	cx q[5], q[6]
Gate( 4355)	tdg q[5]
Gate( 4356)	tdg q[6]
Gate( 4357)	 t q[9]
Gate( 4358)	cx q[9], q[6]
Gate( 4359)	cx q[5], q[9]
Gate( 4360)	cx q[6], q[5]
Gate( 4361)	 h q[9]
Gate( 4362)	 x q[8]
Gate( 4363)	 x q[6]
Gate( 4364)	 h q[0]
Gate( 4365)	 t q[4]
Gate( 4366)	 t q[10]
Gate( 4367)	 t q[0]
Gate( 4368)	cx q[10], q[4]
Gate( 4369)	cx q[0], q[10]
Gate( 4370)	cx q[4], q[0]
Gate( 4371)	tdg q[10]
Gate( 4372)	cx q[4], q[10]
Gate( 4373)	tdg q[4]
Gate( 4374)	tdg q[10]
Gate( 4375)	 t q[0]
Gate( 4376)	cx q[0], q[10]
Gate( 4377)	cx q[4], q[0]
Gate( 4378)	cx q[10], q[4]
Gate( 4379)	 h q[0]
Gate( 4380)	 h q[10]
Gate( 4381)	 t q[5]
Gate( 4382)	 t q[7]
Gate( 4383)	 t q[10]
Gate( 4384)	cx q[7], q[5]
Gate( 4385)	cx q[10], q[7]
Gate( 4386)	cx q[5], q[10]
Gate( 4387)	tdg q[7]
Gate( 4388)	cx q[5], q[7]
Gate( 4389)	tdg q[5]
Gate( 4390)	tdg q[7]
Gate( 4391)	 t q[10]
Gate( 4392)	cx q[10], q[7]
Gate( 4393)	cx q[5], q[10]
Gate( 4394)	cx q[7], q[5]
Gate( 4395)	 h q[10]
Gate( 4396)	 h q[7]
Gate( 4397)	 t q[6]
Gate( 4398)	 t q[3]
Gate( 4399)	 t q[7]
Gate( 4400)	cx q[3], q[6]
Gate( 4401)	cx q[7], q[3]
Gate( 4402)	cx q[6], q[7]
Gate( 4403)	tdg q[3]
Gate( 4404)	cx q[6], q[3]
Gate( 4405)	tdg q[6]
Gate( 4406)	tdg q[3]
Gate( 4407)	 t q[7]
Gate( 4408)	cx q[7], q[3]
Gate( 4409)	cx q[6], q[7]
Gate( 4410)	cx q[3], q[6]
Gate( 4411)	 h q[7]
Gate( 4412)	 h q[3]
Gate( 4413)	 t q[8]
Gate( 4414)	 t q[2]
Gate( 4415)	 t q[3]
Gate( 4416)	cx q[2], q[8]
Gate( 4417)	cx q[3], q[2]
Gate( 4418)	cx q[8], q[3]
Gate( 4419)	tdg q[2]
Gate( 4420)	cx q[8], q[2]
Gate( 4421)	tdg q[8]
Gate( 4422)	tdg q[2]
Gate( 4423)	 t q[3]
Gate( 4424)	cx q[3], q[2]
Gate( 4425)	cx q[8], q[3]
Gate( 4426)	cx q[2], q[8]
Gate( 4427)	 h q[3]
Gate( 4428)	 h q[2]
Gate( 4429)	 t q[11]
Gate( 4430)	 t q[9]
Gate( 4431)	 t q[2]
Gate( 4432)	cx q[9], q[11]
Gate( 4433)	cx q[2], q[9]
Gate( 4434)	cx q[11], q[2]
Gate( 4435)	tdg q[9]
Gate( 4436)	cx q[11], q[9]
Gate( 4437)	tdg q[11]
Gate( 4438)	tdg q[9]
Gate( 4439)	 t q[2]
Gate( 4440)	cx q[2], q[9]
Gate( 4441)	cx q[11], q[2]
Gate( 4442)	cx q[9], q[11]
Gate( 4443)	 h q[2]
Gate( 4444)	 h q[3]
Gate( 4445)	 t q[8]
Gate( 4446)	 t q[2]
Gate( 4447)	 t q[3]
Gate( 4448)	cx q[2], q[8]
Gate( 4449)	cx q[3], q[2]
Gate( 4450)	cx q[8], q[3]
Gate( 4451)	tdg q[2]
Gate( 4452)	cx q[8], q[2]
Gate( 4453)	tdg q[8]
Gate( 4454)	tdg q[2]
Gate( 4455)	 t q[3]
Gate( 4456)	cx q[3], q[2]
Gate( 4457)	cx q[8], q[3]
Gate( 4458)	cx q[2], q[8]
Gate( 4459)	 h q[3]
Gate( 4460)	 h q[7]
Gate( 4461)	 t q[6]
Gate( 4462)	 t q[3]
Gate( 4463)	 t q[7]
Gate( 4464)	cx q[3], q[6]
Gate( 4465)	cx q[7], q[3]
Gate( 4466)	cx q[6], q[7]
Gate( 4467)	tdg q[3]
Gate( 4468)	cx q[6], q[3]
Gate( 4469)	tdg q[6]
Gate( 4470)	tdg q[3]
Gate( 4471)	 t q[7]
Gate( 4472)	cx q[7], q[3]
Gate( 4473)	cx q[6], q[7]
Gate( 4474)	cx q[3], q[6]
Gate( 4475)	 h q[7]
Gate( 4476)	 h q[10]
Gate( 4477)	 t q[5]
Gate( 4478)	 t q[7]
Gate( 4479)	 t q[10]
Gate( 4480)	cx q[7], q[5]
Gate( 4481)	cx q[10], q[7]
Gate( 4482)	cx q[5], q[10]
Gate( 4483)	tdg q[7]
Gate( 4484)	cx q[5], q[7]
Gate( 4485)	tdg q[5]
Gate( 4486)	tdg q[7]
Gate( 4487)	 t q[10]
Gate( 4488)	cx q[10], q[7]
Gate( 4489)	cx q[5], q[10]
Gate( 4490)	cx q[7], q[5]
Gate( 4491)	 h q[10]
Gate( 4492)	 h q[0]
Gate( 4493)	 t q[4]
Gate( 4494)	 t q[10]
Gate( 4495)	 t q[0]
Gate( 4496)	cx q[10], q[4]
Gate( 4497)	cx q[0], q[10]
Gate( 4498)	cx q[4], q[0]
Gate( 4499)	tdg q[10]
Gate( 4500)	cx q[4], q[10]
Gate( 4501)	tdg q[4]
Gate( 4502)	tdg q[10]
Gate( 4503)	 t q[0]
Gate( 4504)	cx q[0], q[10]
Gate( 4505)	cx q[4], q[0]
Gate( 4506)	cx q[10], q[4]
Gate( 4507)	 h q[0]
Gate( 4508)	 h q[10]
Gate( 4509)	 t q[5]
Gate( 4510)	 t q[7]
Gate( 4511)	 t q[10]
Gate( 4512)	cx q[7], q[5]
Gate( 4513)	cx q[10], q[7]
Gate( 4514)	cx q[5], q[10]
Gate( 4515)	tdg q[7]
Gate( 4516)	cx q[5], q[7]
Gate( 4517)	tdg q[5]
Gate( 4518)	tdg q[7]
Gate( 4519)	 t q[10]
Gate( 4520)	cx q[10], q[7]
Gate( 4521)	cx q[5], q[10]
Gate( 4522)	cx q[7], q[5]
Gate( 4523)	 h q[10]
Gate( 4524)	 h q[7]
Gate( 4525)	 t q[6]
Gate( 4526)	 t q[3]
Gate( 4527)	 t q[7]
Gate( 4528)	cx q[3], q[6]
Gate( 4529)	cx q[7], q[3]
Gate( 4530)	cx q[6], q[7]
Gate( 4531)	tdg q[3]
Gate( 4532)	cx q[6], q[3]
Gate( 4533)	tdg q[6]
Gate( 4534)	tdg q[3]
Gate( 4535)	 t q[7]
Gate( 4536)	cx q[7], q[3]
Gate( 4537)	cx q[6], q[7]
Gate( 4538)	cx q[3], q[6]
Gate( 4539)	 h q[7]
Gate( 4540)	 h q[3]
Gate( 4541)	 t q[8]
Gate( 4542)	 t q[2]
Gate( 4543)	 t q[3]
